# Start monitoring : /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/python /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/fc_run.py fc_run_dmagna_short.cfg
#
# System memory total  [MB]: 2068021
# - available at start [MB]: 1912681
# System swap total    [MB]: 0
# - free swap at start [MB]: 0
#
time(s):894.7 sum_rss(MB):6514.4 sum_vms(MB):8644.2 numproc:13 numthreads:33 mem_avail(MB/%):1912204/92.5% swap_avail(MB/%):0/100.0%
time(s):905.1 sum_rss(MB):6590.8 sum_vms(MB):8824.0 numproc:13 numthreads:33 mem_avail(MB/%):1912150/92.5% swap_avail(MB/%):0/100.0%
time(s):915.5 sum_rss(MB):6379.1 sum_vms(MB):8508.0 numproc:13 numthreads:33 mem_avail(MB/%):1913191/92.5% swap_avail(MB/%):0/100.0%
time(s):925.9 sum_rss(MB):6415.5 sum_vms(MB):8538.4 numproc:13 numthreads:33 mem_avail(MB/%):1914009/92.6% swap_avail(MB/%):0/100.0%
time(s):936.3 sum_rss(MB):4828.3 sum_vms(MB):6556.7 numproc:10 numthreads:20 mem_avail(MB/%):1914201/92.6% swap_avail(MB/%):0/100.0%
time(s):946.7 sum_rss(MB):5563.7 sum_vms(MB):7574.2 numproc:13 numthreads:31 mem_avail(MB/%):1913086/92.5% swap_avail(MB/%):0/100.0%
time(s):957.0 sum_rss(MB):5971.1 sum_vms(MB):8101.9 numproc:13 numthreads:33 mem_avail(MB/%):1913125/92.5% swap_avail(MB/%):0/100.0%
time(s):967.4 sum_rss(MB):3433.3 sum_vms(MB):4753.6 numproc:7 numthreads:18 mem_avail(MB/%):1915300/92.6% swap_avail(MB/%):0/100.0%
time(s):977.8 sum_rss(MB):3500.1 sum_vms(MB):4819.7 numproc:11 numthreads:27 mem_avail(MB/%):1915147/92.6% swap_avail(MB/%):0/100.0%
time(s):988.1 sum_rss(MB):4917.2 sum_vms(MB):6651.8 numproc:10 numthreads:24 mem_avail(MB/%):1915647/92.6% swap_avail(MB/%):0/100.0%
time(s):998.5 sum_rss(MB):6481.4 sum_vms(MB):8623.1 numproc:13 numthreads:32 mem_avail(MB/%):1914403/92.6% swap_avail(MB/%):0/100.0%
time(s):1008.9 sum_rss(MB):6577.5 sum_vms(MB):8714.1 numproc:13 numthreads:33 mem_avail(MB/%):1915131/92.6% swap_avail(MB/%):0/100.0%
time(s):1019.3 sum_rss(MB):6570.4 sum_vms(MB):8706.9 numproc:13 numthreads:33 mem_avail(MB/%):1912866/92.5% swap_avail(MB/%):0/100.0%
time(s):1029.7 sum_rss(MB):6578.5 sum_vms(MB):8707.7 numproc:13 numthreads:30 mem_avail(MB/%):1913918/92.5% swap_avail(MB/%):0/100.0%
time(s):1040.1 sum_rss(MB):6335.4 sum_vms(MB):8585.1 numproc:13 numthreads:33 mem_avail(MB/%):1913734/92.5% swap_avail(MB/%):0/100.0%
time(s):1050.5 sum_rss(MB):6447.4 sum_vms(MB):8571.5 numproc:13 numthreads:31 mem_avail(MB/%):1913918/92.5% swap_avail(MB/%):0/100.0%
time(s):1060.9 sum_rss(MB):6470.3 sum_vms(MB):8594.2 numproc:13 numthreads:33 mem_avail(MB/%):1912443/92.5% swap_avail(MB/%):0/100.0%
time(s):1071.3 sum_rss(MB):6577.7 sum_vms(MB):8706.2 numproc:13 numthreads:33 mem_avail(MB/%):1913880/92.5% swap_avail(MB/%):0/100.0%
time(s):1081.7 sum_rss(MB):6571.3 sum_vms(MB):8699.1 numproc:13 numthreads:30 mem_avail(MB/%):1912633/92.5% swap_avail(MB/%):0/100.0%
time(s):1092.1 sum_rss(MB):4876.0 sum_vms(MB):6594.1 numproc:10 numthreads:26 mem_avail(MB/%):1913853/92.5% swap_avail(MB/%):0/100.0%
time(s):1102.5 sum_rss(MB):3355.1 sum_vms(MB):4669.9 numproc:7 numthreads:19 mem_avail(MB/%):1914845/92.6% swap_avail(MB/%):0/100.0%
time(s):1112.9 sum_rss(MB):6407.0 sum_vms(MB):8541.7 numproc:13 numthreads:33 mem_avail(MB/%):1912218/92.5% swap_avail(MB/%):0/100.0%
time(s):1123.3 sum_rss(MB):4563.1 sum_vms(MB):6290.7 numproc:10 numthreads:26 mem_avail(MB/%):1915797/92.6% swap_avail(MB/%):0/100.0%
time(s):1133.7 sum_rss(MB):5689.7 sum_vms(MB):7567.6 numproc:13 numthreads:33 mem_avail(MB/%):1913041/92.5% swap_avail(MB/%):0/100.0%
time(s):1144.0 sum_rss(MB):5003.2 sum_vms(MB):6732.2 numproc:10 numthreads:24 mem_avail(MB/%):1914004/92.6% swap_avail(MB/%):0/100.0%
time(s):1154.4 sum_rss(MB):6523.0 sum_vms(MB):8408.9 numproc:13 numthreads:33 mem_avail(MB/%):1915357/92.6% swap_avail(MB/%):0/100.0%
time(s):1164.8 sum_rss(MB):6242.7 sum_vms(MB):8513.4 numproc:13 numthreads:28 mem_avail(MB/%):1916808/92.7% swap_avail(MB/%):0/100.0%
